0,1,2
img.71lady.com.sp.spcdntip.com,-1.0,-1.0
993.sp.spcdntip.com,-1.0,-1.0
a.vimage1.com.mccdnglb.com,-1.0,-1.0
mobubt-oysyn.ctrip.com.cnc.jq.ctripgslb.com,-1.0,-1.0
mmy.pp.starschinalive.com.mmycdn.com,-1.0,-1.0
342548.stage.tcdnvod.com,-1.0,-1.0
v4.cache.qcloudcdn.com.v4.tcdnvod.com,-1.0,-1.0
img02.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
y01-p39-01x.greycdn.net,-1.0,-1.0
ctslb-oy-bgp-tel.ctripgslb.com,-1.0,-1.0
467.sp.spcdntip.com,-1.0,-1.0
kuaishou.p29.tcdnvod.com,-1.0,-1.0
342555.stage.tcdnvod.com,-1.0,-1.0
553475.stage.tcdnvod.com,-1.0,-1.0
mobubt-oysyn.ctrip.com.cnc.oy.ctripgslb.com,-1.0,-1.0
m-120ask-com.mipcdn.com,-1.0,-1.0
342555.stage.tcdnvod.com,-1.0,-1.0
ctslb-bgp-oy90.ctripgslb.com,-1.0,-1.0
img4.peiyinxiu.com.gosuncdn.com,-1.0,-1.0
vodv2.cdn.myqcloud.com.stage.tcdnvod.com,-1.0,-1.0
wpg.ctrip.com.dr.ctripgslb.com,-1.0,-1.0
img-hw.xvideos-cdn.com,1.0,-1.0
342548.stage.tcdnvod.com,-1.0,-1.0
kuaishou.p29.tcdnvod.com,-1.0,-1.0
static.qcdqcdn.com,1.0,-1.0
img02.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
470.sp.spcdntip.com,-1.0,-1.0
img02.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
pcvideogs.titan.mgtv.com.gosuncdn.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
baidu.lc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
gimg1.qcdqcdn.com,1.0,-1.0
s.c-ctrip.com.ctripgslb.com,-1.0,-1.0
dlweb.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
391.sp.spcdntip.com,-1.0,-1.0
lc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,-1.0,-1.0
img03.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
static.dangdang.com.xdy-cdn.cn,-1.0,-1.0
ns1.dns02.gosuncdn.com,-1.0,-1.0
s.cdn.u17t.com.gosuncdn.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
684397.p29.tcdnvod.com,-1.0,-1.0
553475.stage.tcdnvod.com,-1.0,-1.0
123p0.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
123p0.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
lc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
kuaishou.p29.tcdnvod.com,1.0,-1.0
mip-xitongzhijia-net.mipcdn.com,-1.0,1.0
kuaishou.p29.tcdnvod.com,-1.0,-1.0
img.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
glog.qcdqcdn.com,1.0,-1.0
apd-uv160e.v.smtcdns.com,-1.0,-1.0
www-360doc-cn.mipcdn.com,-1.0,-1.0
ctslb-oy-bgp-cnc.ctripgslb.com,-1.0,-1.0
img4.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
ns2.dns02.gosuncdn.com,-1.0,-1.0
kuaishou.p29.tcdnvod.com,-1.0,-1.0
ctslb-bgp-oy.ctripgslb.com,-1.0,-1.0
v11-hs.ixigua.com.v4.tcdnvod.com,-1.0,-1.0
342551.stage.tcdnvod.com,-1.0,-1.0
467.sp.spcdntip.com,-1.0,-1.0
m.12ky.com.sp.spcdntip.com,-1.0,-1.0
vodv2.cdn.myqcloud.com.stage.tcdnvod.com,-1.0,-1.0
994.sp.spcdntip.com,-1.0,-1.0
342555.stage.tcdnvod.com,-1.0,-1.0
img7x8.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
cdid.c-ctrip.com.ctripgslb.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,-1.0,-1.0
img31.ddimg.cn.xdy-cdn.cn,1.0,-1.0
451.sp.spcdntip.com,-1.0,-1.0
gimg.qcdqcdn.com,1.0,-1.0
img33.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
123p0.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
img3m7.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
722.sp.spcdntip.com,-1.0,-1.0
342548.stage.tcdnvod.com,-1.0,-1.0
vod2.china.qiniu.stage.tcdnvod.com,-1.0,-1.0
dlweb.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
mg.bc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
kuaishou.p29.tcdnvod.com,-1.0,-1.0
img63.ddimg.cn.xdy-cdn.cn,1.0,-1.0
img5.u17i.com.gosuncdn.com,-1.0,-1.0
img1-xydfn-com.ruisucdn.com,-1.0,1.0
img3m3.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
k7.2.591mogu.com.sp.spcdntip.com,-1.0,-1.0
553475.stage.tcdnvod.com,-1.0,-1.0
mip-xiangha-com.mipcdn.com,-1.0,-1.0
img30.ddimg.cn.xdy-cdn.cn,1.0,-1.0
img38.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
530629.p29.tcdnvod.com,-1.0,-1.0
684397.p29.tcdnvod.com,-1.0,-1.0
baidu.lc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
m-cnkang-com.mipcdn.com,-1.0,-1.0
451.sp.spcdntip.com,-1.0,-1.0
img3m5.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
img02.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
